tconst	averageRating	numVotes
tt0000001	5.7	2007
tt0000002	5.7	270
tt0000003	6.5	1924
tt0000004	5.5	179
tt0000005	6.2	2698
tt0000006	5.0	183
tt0000007	5.4	843
tt0000008	5.4	2155
tt0000009	5.3	207
tt0000010	6.9	7365
tt0000011	5.2	377
tt0000012	7.4	12576
tt0000013	5.7	1921
tt0000014	7.1	5680
tt0000015	6.1	1133
tt0000016	5.9	1547
tt0000017	4.6	333
tt0000018	5.3	611
tt0000019	5.1	31
tt0000020	4.8	367
tt0000022	5.1	1116
tt0000023	5.7	1465
tt0000024	4.2	120
tt0000025	3.8	44
tt0000026	5.6	1571
tt0000027	5.6	1181
tt0000028	5.1	1110
tt0000029	5.9	3444
tt0000030	5.2	870
tt0000031	5.5	1027
tt0000032	5.0	428
tt0000033	5.5	1052
tt0000034	4.9	225
tt0000035	5.7	82
tt0000036	4.4	612
tt0000037	4.4	72
tt0000038	4.2	208
tt0000039	3.5	33
tt0000040	4.0	71
tt0000041	6.7	1936
tt0000042	4.1	38
tt0000043	3.4	33
tt0000044	3.8	49
tt0000045	4.0	34
tt0000046	4.1	36
tt0000047	3.4	35
tt0000048	4.7	206
tt0000049	5.0	49
tt0000050	4.1	35
tt0000051	3.6	36
tt0000052	4.2	110
tt0000053	3.3	19
tt0000054	4.9	35
tt0000055	3.6	31
tt0000056	3.0	23
tt0000057	4.5	35
tt0000058	4.2	34
tt0000059	3.3	28
tt0000060	7.4	89
tt0000061	4.3	28
tt0000062	6.3	203
tt0000063	3.3	29
tt0000064	3.0	30
tt0000065	3.2	30
tt0000066	3.2	30
tt0000067	5.5	72
tt0000068	3.8	32
tt0000069	4.9	488
tt0000070	6.4	2713
tt0000071	3.3	30
tt0000072	3.5	28
tt0000073	3.5	31
tt0000074	4.6	32
tt0000075	6.3	1992
tt0000076	4.5	542
tt0000077	4.5	36
tt0000078	3.7	91
tt0000079	4.3	36
tt0000080	4.0	32
tt0000081	4.1	33
tt0000082	4.8	50
tt0000083	4.6	33
tt0000084	4.3	31
tt0000085	4.7	34
tt0000086	4.1	34
tt0000087	4.7	38
tt0000088	4.2	33
tt0000089	6.2	1022
tt0000090	3.9	32
tt0000091	6.7	3848
tt0000092	4.5	30
tt0000093	4.7	94
tt0000094	4.5	38
tt0000095	4.8	35
tt0000096	4.1	31
tt0000097	4.9	34
tt0000098	5.2	37
tt0000099	4.6	33
tt0000100	4.8	57
